#Data tag : 24v2 , Norm tag: composite
+--------------+-------------------+------+----------------------------+----------------+---------------+
| run:fill     | time              | ncms | hltpath                    | delivered(/fb) | recorded(/fb) |
+--------------+-------------------+------+----------------------------+----------------+---------------+
| 378985:9474  | 04/06/24 00:24:34 | 768  | HLT_PFHT280_QuadPFJet30_v4 | 0.000002516    | 0.000002482   |
| 378993:9475  | 04/06/24 08:01:17 | 79   | HLT_PFHT280_QuadPFJet30_v4 | 0.000000769    | 0.000000751   |
| 379006:9475  | 04/06/24 10:52:20 | 23   | HLT_PFHT280_QuadPFJet30_v4 | 0.000000345    | 0.000000338   |
| 379011:9475  | 04/06/24 11:58:18 | 399  | HLT_PFHT280_QuadPFJet30_v4 | 0.000005046    | 0.000004562   |
| 379012:9475  | 04/06/24 14:37:43 | 73   | HLT_PFHT280_QuadPFJet30_v4 | 0.000000825    | 0.000000814   |
| 379028:9476  | 04/06/24 19:56:15 | 534  | HLT_PFHT280_QuadPFJet30_v4 | 0.000007584    | 0.000007407   |
| 379031:9476  | 04/07/24 00:02:34 | 289  | HLT_PFHT280_QuadPFJet30_v4 | 0.000003790    | 0.000003711   |
| 379058:9479  | 04/07/24 09:34:30 | 826  | HLT_PFHT280_QuadPFJet30_v4 | 0.000099569    | 0.000096978   |
| 379075:9483  | 04/08/24 02:29:09 | 375  | HLT_PFHT280_QuadPFJet30_v4 | 0.000041630    | 0.000040667   |
| 379154:9485  | 04/08/24 22:13:02 | 1049 | HLT_PFHT280_QuadPFJet30_v4 | 0.000115312    | 0.000112539   |
| 379238:9496  | 04/10/24 16:44:48 | 286  | HLT_PFHT280_QuadPFJet30_v4 | 0.000175840    | 0.000169721   |
| 379243:9497  | 04/10/24 20:30:21 | 299  | HLT_PFHT280_QuadPFJet30_v4 | 0.000195083    | 0.000191857   |
| 379252:9499  | 04/11/24 01:57:11 | 644  | HLT_PFHT280_QuadPFJet30_v4 | 0.000457147    | 0.000446463   |
| 379253:9499  | 04/11/24 06:08:54 | 104  | HLT_PFHT280_QuadPFJet30_v4 | 0.000078935    | 0.000077856   |
| 379338:9510  | 04/12/24 14:27:21 | 170  | HLT_PFHT280_QuadPFJet30_v4 | 0.000128995    | 0.000116718   |
| 379774:9549  | 04/21/24 03:13:58 | 157  | HLT_PFHT280_QuadPFJet30_v4 | 0.000521041    | 0.000496746   |
| 379355:9512  | 04/13/24 03:39:10 | 20   | HLT_PFHT280_QuadPFJet30_v4 | 0.000030169    | 0.000028675   |
| 379416:9517  | 04/14/24 17:34:18 | 195  | HLT_PFHT280_QuadPFJet30_v4 | 0.000422240    | 0.000396652   |
| 379420:9518  | 04/14/24 21:02:55 | 516  | HLT_PFHT280_QuadPFJet30_v4 | 0.001121591    | 0.001059154   |
| 379425:9519  | 04/15/24 02:03:52 | 203  | HLT_PFHT280_QuadPFJet30_v4 | 0.000389500    | 0.000366626   |
| 379433:9520  | 04/15/24 05:13:11 | 21   | HLT_PFHT280_QuadPFJet30_v4 | 0.000014460    | 0.000013174   |
| 379442:9521  | 04/15/24 07:07:46 | 269  | HLT_PFHT280_QuadPFJet30_v4 | 0.000561244    | 0.000528268   |
| 379454:9523  | 04/15/24 11:25:22 | 498  | HLT_PFHT280_QuadPFJet30_v4 | 0.001085999    | 0.000987615   |
| 379456:9523  | 04/15/24 14:47:09 | 1199 | HLT_PFHT280_QuadPFJet30_v4 | 0.002138678    | 0.002009300   |
| 379470:9525  | 04/16/24 00:38:26 | 794  | HLT_PFHT280_QuadPFJet30_v4 | 0.001766891    | 0.001662907   |
| 379530:9530  | 04/17/24 01:12:13 | 593  | HLT_PFHT280_QuadPFJet30_v4 | 0.001919407    | 0.001793549   |
| 379618:9537  | 04/18/24 08:43:50 | 360  | HLT_PFHT280_QuadPFJet30_v4 | 0.001026544    | 0.000988763   |
| 379660:9539  | 04/18/24 16:49:04 | 1507 | HLT_PFHT280_QuadPFJet30_v4 | 0.004364040    | 0.004206887   |
| 379661:9539  | 04/19/24 02:37:20 | 406  | HLT_PFHT280_QuadPFJet30_v4 | 0.000808101    | 0.000797278   |
| 379729:9543  | 04/19/24 17:38:45 | 1465 | HLT_PFHT280_QuadPFJet30_v4 | 0.004601661    | 0.004460769   |
| 379765:9548  | 04/20/24 14:03:25 | 1695 | HLT_PFHT280_QuadPFJet30_v4 | 0.005577409    | 0.005299872   |
| 379866:9559  | 04/23/24 20:37:55 | 1347 | HLT_PFHT280_QuadPFJet30_v4 | 0.002823170    | 0.002748469   |
| 379984:9562  | 04/25/24 11:47:58 | 913  | HLT_PFHT280_QuadPFJet30_v4 | 0.002394968    | 0.002328481   |
| 380001:9564  | 04/25/24 20:39:17 | 691  | HLT_PFHT280_QuadPFJet30_v4 | 0.002402096    | 0.002318305   |
| 380005:9565  | 04/26/24 03:10:19 | 1062 | HLT_PFHT280_QuadPFJet30_v4 | 0.003688330    | 0.003535364   |
| 380007:9565  | 04/26/24 10:12:08 | 129  | HLT_PFHT280_QuadPFJet30_v4 | 0.000370060    | 0.000351789   |
| 380029:9566  | 04/26/24 15:02:20 | 55   | HLT_PFHT280_QuadPFJet30_v4 | 0.000112681    | 0.000103874   |
| 380030:9566  | 04/26/24 15:37:30 | 346  | HLT_PFHT280_QuadPFJet30_v4 | 0.001463234    | 0.001388484   |
| 380032:9566  | 04/26/24 19:11:02 | 19   | HLT_PFHT280_QuadPFJet30_v4 | 0.000073267    | 0.000068917   |
| 380033:9566  | 04/26/24 19:21:25 | 53   | HLT_PFHT280_QuadPFJet30_v4 | 0.000209047    | 0.000199483   |
| 380043:9567  | 04/26/24 22:44:31 | 900  | HLT_PFHT280_QuadPFJet30_v4 | 0.003609287    | 0.003433308   |
| 380049:9568  | 04/27/24 07:10:37 | 871  | HLT_PFHT280_QuadPFJet30_v4 | 0.003547560    | 0.003347069   |
| 380051:9568  | 04/27/24 12:55:48 | 735  | HLT_PFHT280_QuadPFJet30_v4 | 0.002268614    | 0.002186117   |
| 380052:9568  | 04/27/24 17:45:43 | 12   | HLT_PFHT280_QuadPFJet30_v4 | 0.000030763    | 0.000028762   |
| 380053:9568  | 04/27/24 17:57:47 | 128  | HLT_PFHT280_QuadPFJet30_v4 | 0.000316460    | 0.000306584   |
| 380056:9568  | 04/27/24 18:55:05 | 168  | HLT_PFHT280_QuadPFJet30_v4 | 0.000373004    | 0.000358742   |
| 380066:9569  | 04/27/24 22:17:19 | 552  | HLT_PFHT280_QuadPFJet30_v4 | 0.002215292    | 0.002108323   |
| 380074:9570  | 04/28/24 06:24:04 | 1306 | HLT_PFHT280_QuadPFJet30_v4 | 0.004887230    | 0.004677675   |
| 380115:9573  | 04/29/24 09:42:28 | 1792 | HLT_PFHT280_QuadPFJet30_v4 | 0.006348491    | 0.006100610   |
| 380195:9575  | 04/30/24 23:30:14 | 7    | HLT_PFHT280_QuadPFJet30_v4 | 0.000032030    | 0.000029432   |
| 380197:9575  | 05/01/24 00:09:50 | 357  | HLT_PFHT280_QuadPFJet30_v4 | 0.001643093    | 0.001554127   |
| 380235:9579  | 05/01/24 17:29:48 | 256  | HLT_PFHT280_QuadPFJet30_v4 | 0.001022519    | 0.000958009   |
